Tipo,NombreRestaurante_,NombreUsuario_,LocalizaciónUsario_,NivelUsuario_,OpinionesTotalesUsuario_,VotosUtiles_,IDComentario_,ValoracionComentario_,TituloComentario_,Comentario_,FechaCometario_,FechaVisitaRestaurante_,ValoracionesComentario_,ResumenPuntuacionesRestaurante_,PrecioMedio_,TipoCocina_,Comida_,CaracteristicasDelResaurante_,AconsejablePara_,Horarios_,DireccionCompletaRestaurante_,Descripcion_
¬Restaurante¬;¬DokiDOki¬;¬eugeniamarry¬;¬Comunidad de Madrid, España¬;¬3¬;¬10¬;¬1¬;¬eugeniamarrySo_Ten¬;¬4¬;¬Sorpresa¬;¬Tengo una amiga que le encanta la comida asiática llevaba mucho tiempo dándome el rollo para que le acompañara a probar este sitio. Yo no soy muy de comida asiática pero la verdad es que me gustó mucho. Pedimos un arroz, no me acuerdo muy bien con que era pero estaba muy bueno, también el salmón me encantó, y brochetas... Más  Tengo una amiga que le encanta la comida asiática llevaba mucho tiempo dándome el rollo para que le acompañara a probar este sitio. Yo no soy muy de comida asiática pero la verdad es que me gustó mucho. Pedimos un arroz, no me acuerdo muy bien con que era pero estaba muy bueno, también el salmón me encantó, y brochetas de tamborín niñas y de alguna cosa más también deliciosas. El trato de los camareros bastante bueno. El sitio muy mono decorado.¬;¬11 septiembre 2016¬;¬¬;¬¬;¬¬;¬15 € - 70 €¬;¬Japonesa, Sushi, Asiática, Menú para celíacos¬;¬Comidas, Cenas, Abierto hasta tarde¬;¬Para llevar, Reservas, Capacidad, Camareros, Acceso para discapacitados, Sirve alcohol, Bar completo, Wifi gratuito¬;¬Ocasiones especiales, Familias con niños, Romántico, Reuniones de negocios¬;¬domingo 13:30 - 16:00 martes 13:30 - 16:00 20:30 - 00:00 miércoles 13:30 - 16:00 20:30 - 00:00 jueves 13:30 - 16:00 20:30 - 00:00 viernes 13:30 - 16:00 20:30 - 00:00 sábado 13:30 - 16:00 20:30 - 00:00¬;¬Dirección: Calle de Villalar , 4, 28001 Madrid, España Ubicación: Europa  >  España  >  Comunidad de Madrid  >  Madrid>  > Barrio de Salamanca Barrio: Barrio de Salamanca Número de teléfono: +34 917 79 36 49¬;¬Dirección: Calle de Villalar , 4, 28001 Madrid, España Ubicación: Europa  >  España  >  Comunidad de Madrid  >  Madrid>  > Barrio de Salamanca Barrio: Barrio de Salamanca Número de teléfono: +34 917 79 36 49¬
¬Restaurante¬;¬DokiDOki¬;¬I M¬;¬Madrid, España¬;¬5¬;¬73¬;¬37¬;¬I MSi_Res¬;¬4¬;¬Siempre una buena opción¬;¬Restaurante que conocimos por Tripadvisor, y al que en 4 meses hemos ido unas 6 veces. Muy buen ambiente, decoración muy cuidada, servicio atento y siempre pendiente. La comida siempre buenísima, la calidad de la materia prima excelente. Nuestro plato: Ebi Wasabi Roll con extra de mayonesa y el Black Cod (exquisito). Restaurante que conocimos por Tripadvisor, y al que en 4 meses hemos ido unas 6 veces. Muy buen ambiente, decoración muy cuidada, servicio atento y siempre pendiente. La comida siempre buenísima, la calidad de la materia prima excelente. Nuestro plato: Ebi Wasabi Roll con extra de mayonesa y el Black Cod (exquisito).¬;¬31 agosto 2016¬;¬Visitado el agosto de 2016¬;¬Relación calidad-precio 4;Servicio 4;Comida 5¬;¬¬;¬15 € - 70 €¬;¬Japonesa, Sushi, Asiática, Menú para celíacos¬;¬Comidas, Cenas, Abierto hasta tarde¬;¬Para llevar, Reservas, Capacidad, Camareros, Acceso para discapacitados, Sirve alcohol, Bar completo, Wifi gratuito¬;¬Ocasiones especiales, Familias con niños, Romántico, Reuniones de negocios¬;¬domingo 13:30 - 16:00 martes 13:30 - 16:00 20:30 - 00:00 miércoles 13:30 - 16:00 20:30 - 00:00 jueves 13:30 - 16:00 20:30 - 00:00 viernes 13:30 - 16:00 20:30 - 00:00 sábado 13:30 - 16:00 20:30 - 00:00¬;¬Dirección: Calle de Villalar , 4, 28001 Madrid, España Ubicación: Europa  >  España  >  Comunidad de Madrid  >  Madrid>  > Barrio de Salamanca Barrio: Barrio de Salamanca Número de teléfono: +34 917 79 36 49¬;¬Dirección: Calle de Villalar , 4, 28001 Madrid, España Ubicación: Europa  >  España  >  Comunidad de Madrid  >  Madrid>  > Barrio de Salamanca Barrio: Barrio de Salamanca Número de teléfono: +34 917 79 36 49¬
¬Restaurante¬;¬DokiDOki¬;¬932Irene70¬;¬Toledo, España¬;¬5¬;¬52¬;¬22¬;¬932Irene70Bu_La¬;¬4¬;¬Buena experiencia¬;¬La materia prima es excelente. Tomamos dos nigiris uno de pez limon y otro de waygu tostado. Este ultimo nos lo trajeron al final de la comida y la verdad es q era el mas rico. Un acierto acabar con un sabor tan delicioso. Tomamos tambien la gyoza de carrillera: bastante buena. Compartimos el pollo tepanyaki de sabor muy rico.... Más  La materia prima es excelente. Tomamos dos nigiris uno de pez limon y otro de waygu tostado. Este ultimo nos lo trajeron al final de la comida y la verdad es q era el mas rico. Un acierto acabar con un sabor tan delicioso. Tomamos tambien la gyoza de carrillera: bastante buena. Compartimos el pollo tepanyaki de sabor muy rico. Una cerveza segoviana artesana pale ale de sabor muy agradable y agua. Fueron 50 euros. Un poco carillo pero volveremos. Nos gusto bastante. Buena atencion.¬;¬30 agosto 2016¬;¬Visitado el agosto de 2016¬;¬Relación calidad-precio 3;Servicio 4;Comida 4¬;¬¬;¬15 € - 70 €¬;¬Japonesa, Sushi, Asiática, Menú para celíacos¬;¬Comidas, Cenas, Abierto hasta tarde¬;¬Para llevar, Reservas, Capacidad, Camareros, Acceso para discapacitados, Sirve alcohol, Bar completo, Wifi gratuito¬;¬Ocasiones especiales, Familias con niños, Romántico, Reuniones de negocios¬;¬domingo 13:30 - 16:00 martes 13:30 - 16:00 20:30 - 00:00 miércoles 13:30 - 16:00 20:30 - 00:00 jueves 13:30 - 16:00 20:30 - 00:00 viernes 13:30 - 16:00 20:30 - 00:00 sábado 13:30 - 16:00 20:30 - 00:00¬;¬Dirección: Calle de Villalar , 4, 28001 Madrid, España Ubicación: Europa  >  España  >  Comunidad de Madrid  >  Madrid>  > Barrio de Salamanca Barrio: Barrio de Salamanca Número de teléfono: +34 917 79 36 49¬;¬Dirección: Calle de Villalar , 4, 28001 Madrid, España Ubicación: Europa  >  España  >  Comunidad de Madrid  >  Madrid>  > Barrio de Salamanca Barrio: Barrio de Salamanca Número de teléfono: +34 917 79 36 49¬
¬Restaurante¬;¬DokiDOki¬;¬CCCTACCC¬;¬Ferrol, España¬;¬4¬;¬40¬;¬9¬;¬CCCTACCCJa_Com¬;¬4¬;¬Japo con mucho sabor¬;¬Comida sabrosisima con muy buen ambiente , carta de vinos diferente con buenas recomendaciones por parte del servicio Comida sabrosisima con muy buen ambiente , carta de vinos diferente con buenas recomendaciones por parte del servicio¬;¬27 agosto 2016¬;¬¬;¬¬;¬¬;¬15 € - 70 €¬;¬Japonesa, Sushi, Asiática, Menú para celíacos¬;¬Comidas, Cenas, Abierto hasta tarde¬;¬Para llevar, Reservas, Capacidad, Camareros, Acceso para discapacitados, Sirve alcohol, Bar completo, Wifi gratuito¬;¬Ocasiones especiales, Familias con niños, Romántico, Reuniones de negocios¬;¬domingo 13:30 - 16:00 martes 13:30 - 16:00 20:30 - 00:00 miércoles 13:30 - 16:00 20:30 - 00:00 jueves 13:30 - 16:00 20:30 - 00:00 viernes 13:30 - 16:00 20:30 - 00:00 sábado 13:30 - 16:00 20:30 - 00:00¬;¬Dirección: Calle de Villalar , 4, 28001 Madrid, España Ubicación: Europa  >  España  >  Comunidad de Madrid  >  Madrid>  > Barrio de Salamanca Barrio: Barrio de Salamanca Número de teléfono: +34 917 79 36 49¬;¬Dirección: Calle de Villalar , 4, 28001 Madrid, España Ubicación: Europa  >  España  >  Comunidad de Madrid  >  Madrid>  > Barrio de Salamanca Barrio: Barrio de Salamanca Número de teléfono: +34 917 79 36 49¬
¬Restaurante¬;¬DokiDOki¬;¬Júpiter¬;¬Madrid¬;¬4¬;¬31¬;¬20¬;¬JúpiterPr_Fue¬;¬4¬;¬Primera vez¬;¬Fue la primera vez que estuve en este restaurante y no salí decepcionado. El personal fue muy atento y dispuesto a resolver cualquier duda. Tomé una ensalada (Alga Hijiki) que me gusto mucho y un tataki de atún que me encantó aún más. Los precios no son baratos pero desde mi punto de vista merece la pena. Fui a primera... Más  Fue la primera vez que estuve en este restaurante y no salí decepcionado. El personal fue muy atento y dispuesto a resolver cualquier duda. Tomé una ensalada (Alga Hijiki) que me gusto mucho y un tataki de atún que me encantó aún más. Los precios no son baratos pero desde mi punto de vista merece la pena. Fui a primera hora en la tarde y no tuve problemas y sí hay ""hora punta"" a partir de las 21 horas.¬;¬26 agosto 2016¬;¬Visitado el julio de 2016¬;¬Relación calidad-precio 4;Servicio 4;Comida 4¬;¬¬;¬15 € - 70 €¬;¬Japonesa, Sushi, Asiática, Menú para celíacos¬;¬Comidas, Cenas, Abierto hasta tarde¬;¬Para llevar, Reservas, Capacidad, Camareros, Acceso para discapacitados, Sirve alcohol, Bar completo, Wifi gratuito¬;¬Ocasiones especiales, Familias con niños, Romántico, Reuniones de negocios¬;¬domingo 13:30 - 16:00 martes 13:30 - 16:00 20:30 - 00:00 miércoles 13:30 - 16:00 20:30 - 00:00 jueves 13:30 - 16:00 20:30 - 00:00 viernes 13:30 - 16:00 20:30 - 00:00 sábado 13:30 - 16:00 20:30 - 00:00¬;¬Dirección: Calle de Villalar , 4, 28001 Madrid, España Ubicación: Europa  >  España  >  Comunidad de Madrid  >  Madrid>  > Barrio de Salamanca Barrio: Barrio de Salamanca Número de teléfono: +34 917 79 36 49¬;¬Dirección: Calle de Villalar , 4, 28001 Madrid, España Ubicación: Europa  >  España  >  Comunidad de Madrid  >  Madrid>  > Barrio de Salamanca Barrio: Barrio de Salamanca Número de teléfono: +34 917 79 36 49¬
¬Restaurante¬;¬DokiDOki¬;¬Beatriz P¬;¬Madrid, España¬;¬5¬;¬51¬;¬12¬;¬Beatriz PMu_Tra¬;¬4¬;¬Muy bien¬;¬Trato excelente. Muy rica la comida y una carta variada. La única pega es que la relación calidad-precio me parece un poco excesiva. Trato excelente. Muy rica la comida y una carta variada. La única pega es que la relación calidad-precio me parece un poco excesiva.¬;¬24 agosto 2016¬;¬¬;¬¬;¬¬;¬15 € - 70 €¬;¬Japonesa, Sushi, Asiática, Menú para celíacos¬;¬Comidas, Cenas, Abierto hasta tarde¬;¬Para llevar, Reservas, Capacidad, Camareros, Acceso para discapacitados, Sirve alcohol, Bar completo, Wifi gratuito¬;¬Ocasiones especiales, Familias con niños, Romántico, Reuniones de negocios¬;¬domingo 13:30 - 16:00 martes 13:30 - 16:00 20:30 - 00:00 miércoles 13:30 - 16:00 20:30 - 00:00 jueves 13:30 - 16:00 20:30 - 00:00 viernes 13:30 - 16:00 20:30 - 00:00 sábado 13:30 - 16:00 20:30 - 00:00¬;¬Dirección: Calle de Villalar , 4, 28001 Madrid, España Ubicación: Europa  >  España  >  Comunidad de Madrid  >  Madrid>  > Barrio de Salamanca Barrio: Barrio de Salamanca Número de teléfono: +34 917 79 36 49¬;¬Dirección: Calle de Villalar , 4, 28001 Madrid, España Ubicación: Europa  >  España  >  Comunidad de Madrid  >  Madrid>  > Barrio de Salamanca Barrio: Barrio de Salamanca Número de teléfono: +34 917 79 36 49¬
¬Restaurante¬;¬DokiDOki¬;¬Alfredo L¬;¬Pamplona, España¬;¬3¬;¬14¬;¬4¬;¬Alfredo LEx_Exc¬;¬4¬;¬Excelente comida y local magnífico¬;¬Excelente comida con una materia prima de mucha calidad. Recomiendo dejarse aconsejar. El personal muy atento. Precio adecuado a la calidad. Por poner un pero el vino que pedimos (Blanco) no estaba suficientemente frío. Excelente comida con una materia prima de mucha calidad. Recomiendo dejarse aconsejar. El personal muy atento. Precio adecuado a la calidad. Por poner un pero el vino que pedimos (Blanco) no estaba suficientemente frío.¬;¬11 agosto 2016¬;¬¬;¬¬;¬¬;¬15 € - 70 €¬;¬Japonesa, Sushi, Asiática, Menú para celíacos¬;¬Comidas, Cenas, Abierto hasta tarde¬;¬Para llevar, Reservas, Capacidad, Camareros, Acceso para discapacitados, Sirve alcohol, Bar completo, Wifi gratuito¬;¬Ocasiones especiales, Familias con niños, Romántico, Reuniones de negocios¬;¬domingo 13:30 - 16:00 martes 13:30 - 16:00 20:30 - 00:00 miércoles 13:30 - 16:00 20:30 - 00:00 jueves 13:30 - 16:00 20:30 - 00:00 viernes 13:30 - 16:00 20:30 - 00:00 sábado 13:30 - 16:00 20:30 - 00:00¬;¬Dirección: Calle de Villalar , 4, 28001 Madrid, España Ubicación: Europa  >  España  >  Comunidad de Madrid  >  Madrid>  > Barrio de Salamanca Barrio: Barrio de Salamanca Número de teléfono: +34 917 79 36 49¬;¬Dirección: Calle de Villalar , 4, 28001 Madrid, España Ubicación: Europa  >  España  >  Comunidad de Madrid  >  Madrid>  > Barrio de Salamanca Barrio: Barrio de Salamanca Número de teléfono: +34 917 79 36 49¬
¬Restaurante¬;¬DokiDOki¬;¬Juanan M¬;¬Madrid, España¬;¬3¬;¬13¬;¬2¬;¬Juanan MMu_Muy¬;¬4¬;¬Muy bueno¬;¬Muy buena la comida y un precio razonable, la comida de calidad, el vino bastante bien. Y el entorno limpio y agradable Muy buena la comida y un precio razonable, la comida de calidad, el vino bastante bien. Y el entorno limpio y agradable¬;¬27 julio 2016¬;¬Visitado el julio de 2016¬;¬Relación calidad-precio 4;Servicio 3;Comida 4¬;¬¬;¬15 € - 70 €¬;¬Japonesa, Sushi, Asiática, Menú para celíacos¬;¬Comidas, Cenas, Abierto hasta tarde¬;¬Para llevar, Reservas, Capacidad, Camareros, Acceso para discapacitados, Sirve alcohol, Bar completo, Wifi gratuito¬;¬Ocasiones especiales, Familias con niños, Romántico, Reuniones de negocios¬;¬domingo 13:30 - 16:00 martes 13:30 - 16:00 20:30 - 00:00 miércoles 13:30 - 16:00 20:30 - 00:00 jueves 13:30 - 16:00 20:30 - 00:00 viernes 13:30 - 16:00 20:30 - 00:00 sábado 13:30 - 16:00 20:30 - 00:00¬;¬Dirección: Calle de Villalar , 4, 28001 Madrid, España Ubicación: Europa  >  España  >  Comunidad de Madrid  >  Madrid>  > Barrio de Salamanca Barrio: Barrio de Salamanca Número de teléfono: +34 917 79 36 49¬;¬Dirección: Calle de Villalar , 4, 28001 Madrid, España Ubicación: Europa  >  España  >  Comunidad de Madrid  >  Madrid>  > Barrio de Salamanca Barrio: Barrio de Salamanca Número de teléfono: +34 917 79 36 49¬
¬Restaurante¬;¬DokiDOki¬;¬Ppr13¬;¬¬;¬4¬;¬38¬;¬10¬;¬Ppr13Bu_Un¬;¬4¬;¬Buena opción pero algo caro¬;¬Un bonito local, algo pequeño, las mesas algo pegadas. La comida es de calidad pero no sorprende si ya has probado otros japoneses de cierto nivel. No es abusivo en el precio pero si es algo caro para lo que ofrece. Un bonito local, algo pequeño, las mesas algo pegadas. La comida es de calidad pero no sorprende si ya has probado otros japoneses de cierto nivel. No es abusivo en el precio pero si es algo caro para lo que ofrece.¬;¬16 julio 2016¬;¬¬;¬¬;¬¬;¬15 € - 70 €¬;¬Japonesa, Sushi, Asiática, Menú para celíacos¬;¬Comidas, Cenas, Abierto hasta tarde¬;¬Para llevar, Reservas, Capacidad, Camareros, Acceso para discapacitados, Sirve alcohol, Bar completo, Wifi gratuito¬;¬Ocasiones especiales, Familias con niños, Romántico, Reuniones de negocios¬;¬domingo 13:30 - 16:00 martes 13:30 - 16:00 20:30 - 00:00 miércoles 13:30 - 16:00 20:30 - 00:00 jueves 13:30 - 16:00 20:30 - 00:00 viernes 13:30 - 16:00 20:30 - 00:00 sábado 13:30 - 16:00 20:30 - 00:00¬;¬Dirección: Calle de Villalar , 4, 28001 Madrid, España Ubicación: Europa  >  España  >  Comunidad de Madrid  >  Madrid>  > Barrio de Salamanca Barrio: Barrio de Salamanca Número de teléfono: +34 917 79 36 49¬;¬Dirección: Calle de Villalar , 4, 28001 Madrid, España Ubicación: Europa  >  España  >  Comunidad de Madrid  >  Madrid>  > Barrio de Salamanca Barrio: Barrio de Salamanca Número de teléfono: +34 917 79 36 49¬
¬Restaurante¬;¬DokiDOki¬;¬Fernando L¬;¬¬;¬5¬;¬58¬;¬35¬;¬Fernando LGe_Bue¬;¬4¬;¬Genial¬;¬Buena atención, rapidez y la comida riquisima. Recomendables las gyozas, los spicy udami de salmon y atún. Y pedir fuera de carta los temaki. No es el Kabuki, pero está muy bien. Buena atención, rapidez y la comida riquisima. Recomendables las gyozas, los spicy udami de salmon y atún. Y pedir fuera de carta los temaki. No es el Kabuki, pero está muy bien.¬;¬27 junio 2016¬;¬¬;¬¬;¬¬;¬15 € - 70 €¬;¬Japonesa, Sushi, Asiática, Menú para celíacos¬;¬Comidas, Cenas, Abierto hasta tarde¬;¬Para llevar, Reservas, Capacidad, Camareros, Acceso para discapacitados, Sirve alcohol, Bar completo, Wifi gratuito¬;¬Ocasiones especiales, Familias con niños, Romántico, Reuniones de negocios¬;¬domingo 13:30 - 16:00 martes 13:30 - 16:00 20:30 - 00:00 miércoles 13:30 - 16:00 20:30 - 00:00 jueves 13:30 - 16:00 20:30 - 00:00 viernes 13:30 - 16:00 20:30 - 00:00 sábado 13:30 - 16:00 20:30 - 00:00¬;¬Dirección: Calle de Villalar , 4, 28001 Madrid, España Ubicación: Europa  >  España  >  Comunidad de Madrid  >  Madrid>  > Barrio de Salamanca Barrio: Barrio de Salamanca Número de teléfono: +34 917 79 36 49¬;¬Dirección: Calle de Villalar , 4, 28001 Madrid, España Ubicación: Europa  >  España  >  Comunidad de Madrid  >  Madrid>  > Barrio de Salamanca Barrio: Barrio de Salamanca Número de teléfono: +34 917 79 36 49¬
